OTU ID,X10EF3,X10EI6,X10EJ1,X10ET5,X10EU9,X10EW2,X10EX10,X10UF3,X10UG4,X10UI6,X10UJ1,X10UL7,X10US8,X10UT5,X10UU9,X10UX10,X1EF2,X1EG10,X1EI1,X1EJ7,X1EL4,X1ET5,X1EU9,X1EW2,X1EX6,X1UF2,X1UG10,X1UI3,X1UI4,X1UJ9,X1UM1,X1US7,X1UT5,X1UX6,X2EI3,X2EJ9,X2ES7,X2ET5,X2EU8,X2UG10,X2UL4,X2UT8,X2UU7,X2UX5,X3EF2,X3EJ8,X3EU5,X3EX6,X3E,X3UG10,X3UL3,X3UL4,X3UT9,X3UU6,X3UW1,X4EF2,X4EI5,X4EL3,X4ET9,X4EU8,X4EW1,X4EX7,X4UF1,X4UG10,X4UI5,X4UL3,X4US9,X4UT8,X4UU7,X4UW2,X5EF2,X5EJ6,X5EM1,X5ET8,X5EX5,X5UF2,X5UJ4,X5UL6,X5US7,X5UW1,X6EJ4,X6ET7,X6UF1,X6UI9,X6UL5,X6US8,X6UW2,X7EI9,X7EJ5,X7EL4,X7ET7,X7EU3,X7EW1,X7EX8,X7UF2,X7UG10,X7UI9,X7UJ3,X7UL5,X7UT7,X7UU6,X7UW1,X8EF1,X8EG10,X8EI8,X8EJ3,X8EL7,X8ES4,X8EW2,X8EX9,X8UF3,X8UI9,X8UJ2,X8US8,X8UT5,X8UU7,X8UW1,X8UX10,X9EF3,X9EG5,X9ES9,X9EU10,X9EW1,X9EX8,X9UF3,X9UG5,X9UI9,X9UJ1,X9UL4,X9US7,X9UT6,X9UU10,X9UW2,X9UX8,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Confidence Ranking
OTU_107,4,0,0,4,0,1,18,7,11,0,0,0,8,7,58,0,0,0,0,28,44,0,11,0,0,0,0,24,0,22,0,4,0,0,0,1,26,0,0,0,8,0,0,2,20,11,0,12,0,43,230,76,0,8,49,0,0,0,36,0,0,0,153,17,3,0,56,0,0,4,11,65,12,65,373,0,2,5,12,0,129,0,0,4,36,0,0,41,19,0,0,4,0,165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0,9,0,95,0,41,0,9,0,0,2,1,0,28,3,53,KF206515|SH010549.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,33,52,0,0,0,35,223,0,178,682,0,39,23,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JX096572|SH037255.06FU|reps|k__Fungi;p__Glomeromycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Glomeromycota sp,Glomeromycota,3,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,3,12,0,3,0,0,0,0,0,0,0,5,14,0,0,0,6,0,0,0,0,9,0,45,5,148,157,93,0,19,78,0,0,0,8,5,0,0,4,0,4,0,0,10,0,5,0,0,0,0,21,15,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,2,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,9,51,148,2,0,0,0,0,8,2,0,0,0,121,0,0,KF206515|SH010549.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_141,2,0,0,0,0,3,0,0,6,0,0,0,0,0,4,0,0,0,0,11,25,0,4,0,1,0,0,8,30,0,0,2,1,5,0,0,15,0,0,1,17,0,0,1,0,3,0,0,0,25,98,10,0,2,11,0,0,0,15,0,0,0,117,8,3,0,40,0,13,0,6,41,19,37,105,0,1,7,2,0,116,0,0,4,14,0,0,12,10,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,23,0,8,0,0,0,0,14,6,0,0,0,55,JN195511|SH010588.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,1,0,0,10,0,0,16,0,0,0,0,47,0,0,0,1,0,0,0,0,0,0,0,0,19,0,31,2,146,66,71,0,42,61,0,0,0,5,4,0,0,24,0,0,0,0,1,0,5,0,0,0,0,0,7,37,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,9,0,0,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,1,0,0,0,0,0,0,0,29,0,0,GQ205055|SH010565.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__Rhizophagus irregularis,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,35,212,0,28,0,29,7,0,14,93,11,12,24,0,0,93,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,118,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,2,0,57,0,0,AJ567728|SH037468.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_215,6,0,0,0,0,4,20,0,0,0,0,0,0,0,16,0,0,0,0,10,29,0,0,0,1,0,0,15,0,7,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,8,0,0,0,13,19,13,0,2,1,0,0,0,8,0,0,0,105,0,0,0,46,0,0,0,0,0,21,23,67,0,0,2,4,0,101,0,0,0,11,0,0,4,4,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,54,0,2,0,0,8,0,0,0,0,15,GQ205055|SH010565.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__Rhizophagus irregularis,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,11,0,53,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,0,8,0,0,0,0,4,0,0,0,0,9,0,2,0,24,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,248,0,44,13,33,0,0,0,75,0,EU350806|SH003456.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,13,0,0,0,22,210,0,53,222,2,0,26,60,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AJ567793|SH037254.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,6,194,1,0,13,1,24,0,13,0,0,0,0,78,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,87,6,0,0,0,0,0,0,0,0,0,0,0,0,GQ205065|SH010558.06FU|refs|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__Rhizophagus irregularis,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_210,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,50,0,29,24,281,4,0,25,4,10,0,16,0,0,0,0,45,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KF206515|SH010549.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,36,0,0,0,13,91,0,11,246,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AJ567793|SH037254.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,104,2,0,1,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,1,4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69,37,0,0,0,0,0,0,0,15,0,0,AJ567736|SH010572.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__Rhizophagus sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,82,0,18,0,6,11,0,1,1,12,0,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,56,0,0,AJ567778|SH033014.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,47,0,21,0,9,6,0,22,54,5,5,30,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DQ400257|SH037472.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,63,0,6,0,5,5,0,15,40,1,3,8,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,1,12,0,31,0,0,AJ872051|SH037470.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__Rhizophagus sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,7,0,0,0,5,0,10,4,63,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,AM495153|SH010561.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,28,0,2,25,0,0,0,0,7,0,0,1,0,0,0,0,0,46,39,9,0,0,0,0,0,2,0,0,0,54,0,0,GQ205044|SH010575.06FU|refs|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__Rhizophagus irregularis,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_986,0,0,0,0,0,0,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,68,0,0,0,0,10,0,0,25,0,0,AM495153|SH010561.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,23,0,1,0,0,52,3,0,0,39,0,0,0,0,0,5,2,0,0,6,2,0,0,0,0,0,0,0,0,GU059544|SH032974.06FU|refs|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Glomus indicum,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,66,54,20,0,0,0,0,9,1,0,0,0,0,0,0,JN867176|SH010604.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Glomus sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,72,0,9,0,2,7,0,0,0,5,1,2,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DQ400257|SH037472.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
OTU_321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,49,0,34,45,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AJ567793|SH037254.06FU|reps|k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unidentified;s__Glomeraceae sp,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable
