"","X10EF3","X10EI6","X10EJ1","X10ET5","X10EU9","X10EW2","X10EX10","X10UF3","X10UG4","X10UI6","X10UJ1","X10UL7","X10US8","X10UU9","X10UW2","X10UX10","X1EF2","X1EG10","X1EI1","X1EJ7","X1EL4","X1ET5","X1EU9","X1EW2","X1EX6","X1UF2","X1UG10","X1UI3","X1UI4","X1UJ9","X1UM1","X1US7","X1UT5","X1UX6","X2EF2","X2EI3","X2EJ9","X2EL4","X2ES7","X2ET5","X2EU8","X2UF3","X2UG10","X2UI2","X2UL4","X2UT8","X2UU7","X2UX5","X3EF2","X3EJ8","X3EU5","X3EX6","X3E","X3UG10","X3UL3","X3UL4","X3UT9","X3UU6","X3UW1","X4EF2","X4EI5","X4EL3","X4ET9","X4EU8","X4EW1","X4EX7","X4UF1","X4UG10","X4UI5","X4UL3","X4US9","X4UU7","X4UW2","X5EF2","X5EJ6","X5EM1","X5ET8","X5EX5","X5UF2","X5UJ4","X5UL6","X5US7","X5UW1","X6EJ4","X6UF1","X6UI9","X6UJ4","X6UL5","X6US8","X6UW2","X7EF2","X7EI9","X7EJ5","X7EL4","X7ET7","X7EU3","X7EX8","X7UF2","X7UG10","X7UI9","X7UJ3","X7UL5","X7UT7","X7UU6","X7UW1","X8EG10","X8EI8","X8EJ3","X8EL7","X8ES4","X8ET5","X8EX9","X8UF3","X8UI9","X8UJ2","X8UL4","X8US8","X8UT5","X8UU7","X8UW1","X8UX10","X9EF3","X9EG5","X9ES9","X9EU10","X9EX8","X9UF3","X9UG5","X9UJ1","X9UL4","X9US7","X9UT6","X9UU10"
"Crenarchaeota",0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,3,2,0,0,0,3,0
"AC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOUTA4",0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0
"WS2",1,0,2,2,2,0,2,2,0,0,1,0,0,0,0,0,2,1,2,2,1,1,0,0,1,0,5,1,0,4,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,4,1,0,0,0,0,0,0,0,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,1,0,14,1,0,3,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,2,0,0,1,0,0,4
"Fibrobacteres",3,1,3,4,27,0,31,15,4,4,2,8,4,50,12,2,5,2,2,0,8,1,1,2,1,0,64,0,2,2,14,1,1,2,44,8,3,4,3,16,4,4,1,3,3,2,23,0,2,1,0,2,1,4,2,4,0,0,12,4,6,1,1,0,5,2,0,0,1,2,0,1,4,4,1,4,13,2,0,1,4,9,1,35,11,10,29,3,5,25,3,1,5,1,0,2,6,13,11,0,14,5,5,1,8,2,6,27,14,16,0,4,10,6,19,1,15,24,6,4,8,0,3,17,10,8,6,0,4,2,4,2,2
"Chlorobi",11,0,14,18,20,4,64,22,6,15,20,6,8,54,25,11,10,14,2,5,7,5,0,7,17,9,21,12,20,8,30,16,16,8,22,30,36,25,29,16,8,1,3,4,2,8,2,0,1,4,0,5,11,6,0,1,3,3,0,45,15,18,1,8,41,3,1,1,3,8,8,1,2,9,0,7,8,3,7,3,17,28,6,17,4,15,4,7,13,4,4,3,11,13,8,5,10,26,8,21,51,8,22,2,38,2,2,7,15,4,11,6,25,16,13,7,9,13,50,5,13,13,8,13,17,8,24,5,22,33,23,1,6
"WPS-2",0,0,0,9,3,0,4,22,7,13,21,50,6,19,3,10,0,1,0,0,4,1,0,0,2,0,5,2,0,0,1,0,0,1,0,1,0,0,1,5,0,2,0,2,1,1,0,1,1,0,0,1,0,2,0,1,0,1,8,0,7,3,2,0,6,0,1,0,1,0,1,12,0,1,1,4,1,1,2,0,0,8,0,0,1,0,2,0,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,2,0,0,1,3,0,2,1,0,0,1,0,4,2,0,0,1,6,5,0,1
"Actinobacteria",3087,1189,2814,1507,2750,3412,7405,2515,1253,1142,1696,2503,1604,3612,1157,1061,1226,1976,1286,1162,3606,1164,2797,2729,2829,2314,7605,2513,2275,3516,1738,1956,1684,1738,3295,3100,1466,2111,2158,3072,1020,2719,2197,4172,1864,1813,2414,3303,2677,2101,3765,2312,2925,3102,2014,1394,930,2355,2374,1767,4285,2468,2698,2470,2781,2270,1875,2856,1452,2049,4251,2289,2926,2567,3532,3305,2171,2086,873,819,2345,1388,1165,3817,2590,4789,4679,7809,4732,2858,2363,2947,2501,3716,986,2317,3004,1782,1535,3080,1903,2497,2506,1877,1600,1681,1187,3858,3813,2681,2110,785,1908,713,1521,1275,1238,1231,2646,674,1024,2489,3279,3410,3936,1314,1263,1435,1225,852,1988,1224,1512
"FCPU426",5,0,2,9,0,0,46,10,2,4,0,1,3,44,1,5,3,0,5,5,6,5,2,17,1,8,2,3,2,1,2,1,6,0,0,1,9,11,3,8,0,1,0,0,0,0,0,1,0,1,0,1,0,7,0,0,2,2,1,4,3,23,2,21,7,3,0,1,3,0,0,0,0,0,2,0,0,4,1,0,12,2,2,2,3,2,0,2,4,0,2,13,0,8,0,0,4,4,5,2,4,3,0,0,3,0,0,1,2,4,1,5,5,2,8,4,20,2,5,0,0,3,0,10,0,0,6,0,5,4,10,3,0
"Gemmatimonadetes",158,8,138,117,106,66,293,41,2,15,20,6,28,114,2,13,77,62,36,53,133,37,59,80,77,43,213,31,55,86,30,54,17,50,78,54,30,57,48,87,26,83,39,25,36,26,51,105,26,34,24,8,46,16,17,11,3,18,33,11,30,20,27,11,25,8,3,17,17,9,19,21,18,37,20,49,28,11,13,6,28,12,5,50,24,101,28,75,108,15,58,49,92,97,25,82,47,33,37,71,68,39,28,33,31,20,1,47,54,24,31,13,39,8,15,14,20,17,21,8,17,78,35,64,89,31,37,25,31,14,37,15,27
"Chloroflexi",1034,223,624,833,965,548,1726,635,100,318,219,133,379,2855,288,309,586,312,443,407,1190,320,250,369,501,521,2773,586,577,889,460,496,319,500,571,546,322,454,223,571,98,187,191,362,211,205,184,349,167,185,182,147,357,232,148,63,83,207,245,387,438,634,171,439,694,224,114,192,250,258,360,291,237,214,137,287,224,132,154,139,383,153,111,573,570,1179,286,520,974,272,591,483,593,696,270,479,689,347,380,615,581,379,434,176,325,278,237,488,1078,580,565,657,350,271,321,305,423,337,410,180,327,579,374,384,509,268,390,368,281,244,431,101,303
"BHI80-139",2,0,3,2,0,14,2,5,0,0,0,0,1,6,0,0,1,0,1,4,1,0,0,2,0,0,3,0,0,0,0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,7,2,5,2,1,0,0,0,1,0,0
"Cyanobacteria",46,21,86,105,47,17,145,84,11,27,94,46,60,119,173,13,58,45,19,14,84,42,88,73,60,22,491,32,16,332,57,39,20,32,35,36,52,34,41,39,2,51,7,17,692,34,106,48,21,18,5,12,17,32,52,41,36,57,25,31,23,34,8,35,42,139,10,21,79,12,58,49,31,17,44,22,11,10,53,15,54,48,16,15,45,56,29,42,144,9,27,38,47,64,34,78,138,32,39,69,17,9,110,13,15,33,19,55,146,50,118,25,54,21,29,6,32,15,28,8,40,89,19,15,212,48,90,64,47,36,72,17,46
"Fusobacteria",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lentisphaerae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"WS4",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Verrucomicrobia",408,67,470,428,453,242,1509,1457,299,510,451,580,677,1853,365,475,273,270,264,152,312,208,170,359,242,174,1604,213,216,451,212,179,107,156,322,361,417,380,262,278,77,227,157,172,234,212,268,376,405,185,349,165,307,678,287,94,153,451,437,312,483,403,128,520,507,132,131,113,195,87,307,188,141,299,200,216,218,282,317,256,690,727,348,466,370,442,168,231,669,223,360,211,477,438,227,377,623,243,138,404,383,115,169,85,226,184,74,289,724,297,339,155,358,227,284,80,377,144,360,174,326,427,304,639,629,211,376,291,358,237,602,137,306
"Proteobacteria",7003,6938,6042,6722,7837,4955,26417,14637,4762,6763,9932,10773,10051,17894,9596,6556,5187,8807,4310,3654,7452,4355,4566,8140,7996,4577,24217,6730,4615,7991,6962,4633,4099,4354,8008,9554,5972,8123,12081,6620,4874,5702,4217,4713,5513,4076,6521,6041,11474,6378,12062,8434,9270,5034,6545,7406,7237,5271,6252,5948,10503,5278,5401,5600,8092,4488,6248,8106,3528,5497,10860,7012,8881,5923,5745,4338,6273,5088,4954,5773,9838,13884,5870,8444,6633,9113,6580,19233,8963,6343,5086,5604,7085,7958,3742,5489,8577,8187,6087,15699,8374,4841,6656,6502,6948,9300,6532,6121,15672,6923,5977,3097,9547,4045,6613,2613,5246,5330,16037,4270,6798,5994,6767,8630,12136,3053,10695,8700,10901,9688,15646,9828,6657
"FBP",7,0,3,2,1,0,5,14,0,0,1,1,7,1,1,6,1,0,0,1,0,1,0,1,0,0,8,0,2,5,2,2,0,1,1,0,0,1,1,0,1,5,0,0,1,0,0,0,36,5,1,1,1,1,1,0,0,0,2,4,6,0,2,0,3,1,0,3,0,0,16,0,1,5,0,2,5,1,0,2,2,0,15,0,4,0,6,2,11,0,1,0,0,2,3,2,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,1,8,1,2,2,1,0,2,0,0
"[Thermi]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armatimonadetes",80,7,66,61,110,67,182,81,41,55,45,88,52,151,46,30,19,32,32,34,63,35,27,30,26,22,259,56,15,80,37,40,20,21,33,43,20,34,21,53,7,27,16,35,29,52,34,46,35,35,33,38,39,65,36,17,16,92,68,64,41,64,40,54,69,33,27,55,45,29,61,74,85,48,29,39,39,35,30,34,78,122,62,84,140,113,66,72,93,87,37,66,53,44,22,57,62,45,39,39,40,28,44,21,28,50,22,43,77,99,74,44,32,42,70,35,42,48,92,28,73,42,60,93,90,39,24,40,39,20,42,7,19
"[Parvarchaeota]",3,0,7,0,0,0,11,7,6,1,1,0,2,10,1,0,2,5,3,1,1,0,0,1,2,7,2,1,0,6,5,1,3,0,6,1,5,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,2,0,1,14,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,2,0,10,0,0,0,0,0,6,2,3,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,3,1,0,2
