"","experiment","response","term","test","df","Df.res","statistic","p.value","Pr..Chisq."
"1","wind","Height","(Intercept)","F",1,9.19089837752651,632.004660776289,8.68407321763153e-10,NA
"2","wind","Height","treatment","F",1,9.25210972080119,26.8708897916511,0.00052760864931003,NA
"3","wind","Height","Year","F",1,163.566088317464,183.731962481837,1.53668749960799e-28,NA
"4","wind","Height","genotype","F",9,148.956684291782,7.45892031069826,5.84553876733413e-09,NA
"5","wind","Height","treatment:Year","F",1,163.583427261221,9.69970033581489,0.00217649996295745,NA
"6","wind","Height","treatment:genotype","F",9,148.945411459621,0.780527400343222,0.634638235835808,NA
"7","wind","Height","Year:genotype","F",9,160.683649467256,1.05011561269604,0.40282909766941,NA
"8","wind","Height","treatment:Year:genotype","F",9,160.68752636177,1.62154497305326,0.113069066601121,NA
"9","wind","all.shoot.count","(Intercept)","Chisq",1,NA,796.993431650159,NA,2.43077484717065e-175
"10","wind","all.shoot.count","treatment","Chisq",1,NA,11.7437839302488,NA,0.000610467827208723
"11","wind","all.shoot.count","genotype","Chisq",9,NA,54.0219484919225,NA,1.86977774600469e-08
"12","wind","all.shoot.count","Year","Chisq",1,NA,2.38970878020497,NA,0.12213637938923
"13","wind","all.shoot.count","treatment:genotype","Chisq",9,NA,11.5830049397365,NA,0.237850860995291
"14","wind","all.shoot.count","treatment:Year","Chisq",1,NA,9.91016894679021,NA,0.00164368029034149
"15","wind","all.shoot.count","genotype:Year","Chisq",9,NA,15.1158656000022,NA,0.08780212010724
"16","wind","all.shoot.count","treatment:genotype:Year","Chisq",9,NA,5.78425239028738,NA,0.761301973941466
"17","wind","all.shoot.avg.length","(Intercept)","F",1,9.09939436910948,18.834797140898,0.00182982887924495,NA
"18","wind","all.shoot.avg.length","treatment","F",1,9.29475231307913,9.86481979954009,0.0114545135296808,NA
"19","wind","all.shoot.avg.length","genotype","F",9,147.030271333997,4.70276252526668,1.70188314316864e-05,NA
"20","wind","all.shoot.avg.length","Year","F",1,165.973510315065,75.0706167543253,3.89394027493586e-15,NA
"21","wind","all.shoot.avg.length","treatment:genotype","F",9,146.983520720405,0.802029302068573,0.614982628262624,NA
"22","wind","all.shoot.avg.length","treatment:Year","F",1,166.002512157577,0.110447678807023,0.740054309753665,NA
"23","wind","all.shoot.avg.length","genotype:Year","F",9,162.985657158642,1.43071001546303,0.178798187192088,NA
"24","wind","all.shoot.avg.length","treatment:genotype:Year","F",9,162.990916809901,0.699603558613381,0.708600246042601,NA
"25","wind","leaf_WC","(Intercept)","F",1,9.53823679058361,2025.67266196026,1.96668991166819e-12,NA
"26","wind","leaf_WC","treatment","F",1,9.54226971169257,0.929906120422568,0.358688518889563,NA
"27","wind","leaf_WC","genotype","F",9,132.138241033692,4.88574510872789,1.18475474289667e-05,NA
"28","wind","leaf_WC","Year","F",1,147.153018828918,2.50912043736911,0.115335866878601,NA
"29","wind","leaf_WC","treatment:genotype","F",9,132.153482901422,0.440503895540575,0.910836918144834,NA
"30","wind","leaf_WC","treatment:Year","F",1,147.119674681572,1.79602948826238,0.182259333662916,NA
"31","wind","leaf_WC","genotype:Year","F",9,144.12833531665,2.72933598678146,0.00571650670156044,NA
"32","wind","leaf_WC","treatment:genotype:Year","F",9,144.126824576807,1.56352809517137,0.131576751532742,NA
"33","wind","SLA","(Intercept)","F",1,9.4548953757719,2203.07161284839,1.59587058116943e-12,NA
"34","wind","SLA","treatment","F",1,9.49383675944388,0.438873156547845,0.523422379792603,NA
"35","wind","SLA","genotype","F",9,123.08547614229,5.88622400111889,8.24000009827635e-07,NA
"36","wind","SLA","treatment:genotype","F",9,123.077675612389,0.858291781729401,0.564399751108016,NA
"37","wind","leaf_trichome.density","(Intercept)","Chisq",1,NA,150.961439106535,NA,1.06860291274783e-34
"38","wind","leaf_trichome.density","treatment","Chisq",1,NA,0.113992894717407,NA,0.735643284194032
"39","wind","leaf_trichome.density","genotype","Chisq",9,NA,81.3526142713131,NA,8.70144520594448e-14
"40","wind","leaf_trichome.density","treatment:genotype","Chisq",9,NA,10.7713710496835,NA,0.291706463440843
"41","wind","leaf_C_N","(Intercept)","F",1,10.3443970125028,8359.18091511678,2.20598236399891e-16,NA
"42","wind","leaf_C_N","treatment","F",1,9.74683595572176,0.736001346570999,0.411543901090571,NA
"43","wind","leaf_C_N","genotype","F",9,71.6353890305209,4.98423871806072,3.30508933593642e-05,NA
"44","wind","leaf_C_N","treatment:genotype","F",9,71.6373168602129,1.30105134896217,0.251698053276476,NA
"45","ant-aphid","Height","(Intercept)","F",1,4.04765019908434,246.717394047462,8.85742157236504e-05,NA
"46","ant-aphid","Height","Aphid.Treatment","F",1,204.753192107331,0.193217943109395,0.660715316761905,NA
"47","ant-aphid","Height","scale(Ant.Mound.Dist)","F",1,9.15940040758074,0.377605090590203,0.553843724613231,NA
"48","ant-aphid","Height","Genotype","F",9,204.38787824346,15.3942921853981,4.73944096480752e-19,NA
"49","ant-aphid","Height","Aphid.Treatment:scale(Ant.Mound.Dist)","F",1,204.748380896003,0.164711447086114,0.685279137514081,NA
"50","ant-aphid","Height","Aphid.Treatment:Genotype","F",9,204.591357307159,0.933283585742232,0.497190492854813,NA
"51","ant-aphid","Height","scale(Ant.Mound.Dist):Genotype","F",9,204.450737264849,0.954343482111709,0.47917929088498,NA
"52","ant-aphid","Height","Aphid.Treatment:scale(Ant.Mound.Dist):Genotype","F",9,204.650857712132,1.6231221644336,0.110435916435998,NA
"53","ant-aphid","all.shoot.count","(Intercept)","Chisq",1,NA,212.113976856285,NA,4.74970576749278e-48
"54","ant-aphid","all.shoot.count","Aphid.Treatment","Chisq",1,NA,0.597499228458138,NA,0.439533777593241
"55","ant-aphid","all.shoot.count","scale(Ant.Mound.Dist)","Chisq",1,NA,0.377630869645503,NA,0.53887388989778
"56","ant-aphid","all.shoot.count","Genotype","Chisq",9,NA,60.3981037071074,NA,1.12351808368961e-09
"57","ant-aphid","all.shoot.count","Aphid.Treatment:scale(Ant.Mound.Dist)","Chisq",1,NA,2.76380533273372,NA,0.0964186440636487
"58","ant-aphid","all.shoot.count","Aphid.Treatment:Genotype","Chisq",9,NA,10.6726411956371,NA,0.298816655573024
"59","ant-aphid","all.shoot.count","scale(Ant.Mound.Dist):Genotype","Chisq",9,NA,8.28562473276946,NA,0.505638189326047
"60","ant-aphid","all.shoot.count","Aphid.Treatment:scale(Ant.Mound.Dist):Genotype","Chisq",9,NA,9.17364419162666,NA,0.421402291997943
"61","ant-aphid","mature.shoot.avg.length","(Intercept)","F",1,3.54925108973878,46.1475107246427,0.00373939609658086,NA
"62","ant-aphid","mature.shoot.avg.length","Aphid.Treatment","F",1,204.553223692707,1.66787907898931,0.198000279200447,NA
"63","ant-aphid","mature.shoot.avg.length","scale(Ant.Mound.Dist)","F",1,8.28079758919103,0.298365911532399,0.599313040627885,NA
"64","ant-aphid","mature.shoot.avg.length","Genotype","F",9,204.286750780022,6.55389922593143,3.35358804588973e-08,NA
"65","ant-aphid","mature.shoot.avg.length","scale(moisture.vwc.July9_13)","F",1,11.8717162509853,0.516658515522079,0.486178061422538,NA
"66","ant-aphid","mature.shoot.avg.length","Aphid.Treatment:scale(Ant.Mound.Dist)","F",1,204.486133433607,0.877712042960123,0.349934248112988,NA
"67","ant-aphid","mature.shoot.avg.length","Aphid.Treatment:Genotype","F",9,204.47929656429,1.06714599206841,0.388566241330293,NA
"68","ant-aphid","mature.shoot.avg.length","scale(Ant.Mound.Dist):Genotype","F",9,204.35159638239,0.682593025462649,0.724233605981668,NA
"69","ant-aphid","mature.shoot.avg.length","Aphid.Treatment:scale(Ant.Mound.Dist):Genotype","F",9,204.502213946853,0.55628753584548,0.831650599983102,NA
"70","ant-aphid","leaf_WC","(Intercept)","F",1,4.23120476268074,320.824667449971,3.76917789322537e-05,NA
"71","ant-aphid","leaf_WC","Aphid.Treatment","F",1,84.3502263924867,0.00632039716593944,0.936822505510667,NA
"72","ant-aphid","leaf_WC","scale(Ant.Mound.Dist)","F",1,9.82538900928078,0.168973061293987,0.689847946719827,NA
"73","ant-aphid","leaf_WC","Genotype","F",9,84.9384182272229,1.55721640652835,0.141490658912009,NA
"74","ant-aphid","leaf_WC","Aphid.Treatment:scale(Ant.Mound.Dist)","F",1,85.794386866006,0.438319309039813,0.509709219226882,NA
"75","ant-aphid","leaf_WC","scale(Ant.Mound.Dist):Genotype","F",9,84.267548877962,0.86980130066463,0.555335695200548,NA
"76","ant-aphid","leaf_trichome.density","(Intercept)","Chisq",1,NA,115.126235746197,NA,7.38439181044837e-27
"77","ant-aphid","leaf_trichome.density","Aphid.Treatment","Chisq",1,NA,0.222770222821885,NA,0.636937205996072
"78","ant-aphid","leaf_trichome.density","scale(Ant.Mound.Dist)","Chisq",1,NA,0.337666446816689,NA,0.561179300007766
"79","ant-aphid","leaf_trichome.density","Genotype","Chisq",9,NA,46.9893860987561,NA,3.94256372258173e-07
"80","ant-aphid","leaf_trichome.density","Aphid.Treatment:scale(Ant.Mound.Dist)","Chisq",1,NA,0.428778110542645,NA,0.512589120612124
"81","ant-aphid","leaf_trichome.density","scale(Ant.Mound.Dist):Genotype","Chisq",9,NA,8.7859665721418,NA,0.457261503869336
